ลำดับ,ลำดับ,ชื่อเพลง,ชื่อศิลปิน,Link เพลง (เก่า),เวลา (เก่า),ชื่อคนเสนอ,เลือก (เก่า),หมายเหตุ (เก่า),Link เพลง,ช่วงเวลาเพลง เริ่ม,ช่วงเวลาเพลง จบ,ชื่อผู้เสนอเพลง + ชั้นปี,ความคืบหน้า,หมายเหตุ,,รวมเลือก (G),85
1,2,Liar,บัส,https://youtu.be/qJ7uI-yqAMo,0:43 - 1:14,ไหน ปี3,1,,https://www.youtube.com/watch?v=qJ7uI-yqAMo,00:00:43,00:01:14,ไหน ปี3,ไม่ได้เริ่ม,,,,
2,3,SIGNAL,TWICE,https://www.youtube.com/watch?v=VQtonf1fv_s&list=RDVQtonf1fv_s&start_radio=1,1.25-2.08,น้องหนาว ปี2,1,,https://www.youtube.com/watch?v=VQtonf1fv_s,00:01:25,00:02:08,น้องหนาว ปี2,ไม่ได้เริ่ม,,,เว็บโหลด mp3,https://wav.ninja/
3,4,Crazy,4 minutes ,https://youtu.be/1nCLBTmjJBY?si=0CH7jX_7jYHrYeQc,0.46-1.17,ฮูก ปี 2,1,,https://www.youtube.com/watch?v=1nCLBTmjJBY,00:00:46,00:01:17,ฮูก ปี 2,ไม่ได้เริ่ม,,,,
4,5,FEVER,ENHYPEN ,https://youtu.be/X7d6Dt17yHk?si=zC9kGogmpyLFTJbB,1.50-2.36,เจ้าหญิง ปี 2,1,,https://www.youtube.com/watch?v=X7d6Dt17yHk,00:01:50,00:02:36,เจ้าหญิง ปี 2,ไม่ได้เริ่ม,,,Template มีปัญหา,(6) Facebook
5,6,Seven,JUNGKOOK,https://youtu.be/1QYBiNRu1ok?si=YycoewrpkY6jtyL0,0.38-1.02,ภพ ปี2,1,,https://www.youtube.com/watch?v=1QYBiNRu1ok,00:00:38,00:01:02,ภพ ปี2,ไม่ได้เริ่ม,,,,
6,7,"Eve, Psyche & The Bluebeard's wife",LE SSERAFIM,https://youtu.be/dZs_cLHfnNA?si=9LgBJqqtKGTV78oh,1.04-1.58,เจ้าหญิง ปี 2,1,,https://www.youtube.com/watch?v=dZs_cLHfnNA,00:01:04,00:01:58,เจ้าหญิง ปี 2,ไม่ได้เริ่ม,,,,
7,8,BADVILLAIN,BADVILLAIN,https://youtu.be/vRZ-BJnx044?si=vjhC3UMN9lXBwae6,1.06 - 1.28,เจ้าหญิง ปี 2,1,,https://www.youtube.com/watch?v=vRZ-BJnx044,00:01:06,00:01:28,เจ้าหญิง ปี 2,ไม่ได้เริ่ม,,,,
8,11,Thunder,Seventeen,https://youtu.be/d16W-BCML-s?si=hV0D3XBV2-2Qs8l7,0.44-1.25,ภพ ปี2,1,,https://www.youtube.com/watch?v=d16W-BCML-s,00:00:44,00:01:25,ภพ ปี2,ไม่ได้เริ่ม,,,,
9,12,BAAM,Momoland,https://www.youtube.com/watch?v=txWmd7QKFe8&list=RDtxWmd7QKFe8&start_radio=1,1.06-1.43,น้องหนาว ปี2,1,,https://www.youtube.com/watch?v=txWmd7QKFe8,00:01:06,00:01:43,น้องหนาว ปี2,ไม่ได้เริ่ม,,,,
10,13,Bad desire,ENHYPEN,https://youtu.be/a2Zqdo9RbNs?si=qIOdoUMVX2WX9KAw,1.05-1.24,ภพ ปี2,1,,https://www.youtube.com/watch?v=a2Zqdo9RbNs,00:01:05,00:01:24,ภพ ปี2,ไม่ได้เริ่ม,,,,
11,14,DUN DUN ,EVERGLOW ,https://youtu.be/NoYKBAajoyo?si=KoEx6iSgcEGWpvoR,0.40-1.22,เจ้าหญิง ปี 2,1,,https://www.youtube.com/watch?v=NoYKBAajoyo,00:00:40,00:01:22,เจ้าหญิง ปี 2,ไม่ได้เริ่ม,,,,
12,16,Drama,aespa ,https://youtu.be/bQ4soJ6xIVU?si=EeGjAoX7Bk2e2pnR,0.42-1.34,เจ้าหญิง ปี 2,1,,https://www.youtube.com/watch?v=bQ4soJ6xIVU,00:00:42,00:01:34,เจ้าหญิง ปี 2,ไม่ได้เริ่ม,,,,
13,17,Koisuru Fortune Cookie,BNK48,https://www.youtube.com/watch?v=mfqJyKm20Z4&list=RDmfqJyKm20Z4&start_radio=1,1.16-2.08,น้องหนาว ปี2,1,,https://www.youtube.com/watch?v=mfqJyKm20Z4,00:01:16,00:02:08,น้องหนาว ปี2,ไม่ได้เริ่ม,,,,
14,18,SMOOTHIE,NCT,https://www.youtube.com/watch?v=qQOj-oKhItw&list=RDqQOj-oKhItw&start_radio=1,0.40-1.09,ภพ ปี2,1,จบเร็วมากกก,https://www.youtube.com/watch?v=qQOj-oKhItw,00:00:40,00:01:09,ภพ ปี2,ไม่ได้เริ่ม,,,,
15,19,ANTIFRAGILE,LE SSERAFIM,https://youtu.be/pyf8cbqyfPs?si=nORS9xrmEQmP9Tbv,0.45-1.31,เจ้าหญิง ปี 2,1,,https://www.youtube.com/watch?v=pyf8cbqyfPs,00:00:45,00:01:31,เจ้าหญิง ปี 2,ไม่ได้เริ่ม,,,,
16,20,Next Level,aespa,https://www.youtube.com/watch?v=4TWR90KJl84&list=RD4TWR90KJl84&start_radio=1,0.43-1.18,น้องหนาว ปี2,1,,https://www.youtube.com/watch?v=4TWR90KJl84,00:00:43,00:01:18,น้องหนาว ปี2,ไม่ได้เริ่ม,,,,
17,22,Booty Bomb,4EVE ,https://youtu.be/7umH6Ogt8K4?si=aQXJwoCUSgKnl5aa,1.08-1.42,เจ้าหญิง ปี 2,1,,https://www.youtube.com/watch?v=7umH6Ogt8K4,00:01:08,00:01:42,เจ้าหญิง ปี 2,ไม่ได้เริ่ม,,,,
18,23,HOT 2 HOT,4EVE,https://youtu.be/dP1IzrM42qU?si=Ibv_x5h-gr4WuJXN,1.36-2.25,น้องหนาว ปี2,1,,https://www.youtube.com/watch?v=dP1IzrM42qU,00:01:36,00:02:25,น้องหนาว ปี2,ไม่ได้เริ่ม,,,,
19,24,Whiplash,aespa,https://youtu.be/jWQx2f-CErU,0:30 - 1:11,ไหน ปี3,1,,https://www.youtube.com/watch?v=jWQx2f-CErU,00:00:30,00:01:11,ไหน ปี3,ไม่ได้เริ่ม,,,,
20,25,Touch,KATSEYE,https://www.youtube.com/watch?v=8KAzOKquyVs&list=RD8KAzOKquyVs&start_radio=1,0.38-1.10,น้องหนาว ปี2,1,,https://www.youtube.com/watch?v=8KAzOKquyVs,00:00:38,00:01:10,น้องหนาว ปี2,ไม่ได้เริ่ม,,,,
21,27,Brought The Heat Back,ENHYPEN,https://www.youtube.com/watch?v=yjxLMzeV76Q&list=RDyjxLMzeV76Q&start_radio=1,0.45-1.17,ภพ ปี2,1,,https://www.youtube.com/watch?v=yjxLMzeV76Q,00:00:45,00:01:17,ภพ ปี2,ไม่ได้เริ่ม,,,,
22,30,boom,nct dream,https://youtu.be/X-iJZ0gfKPo,0:55 - 1:20,ไหน ปี3,1,,https://www.youtube.com/watch?v=X-iJZ0gfKPo,00:00:55,00:01:20,ไหน ปี3,ไม่ได้เริ่ม,,,,
23,31,Killin it girl,J-hope ,https://youtu.be/HK3LjI2InOg?si=5X6UcBER_t2nXSsq,0.48-1.15,แป้งจัง ปี2,1,,https://www.youtube.com/watch?v=HK3LjI2InOg,00:00:48,00:01:15,แป้งจัง ปี2,ไม่ได้เริ่ม,,,,
24,32,Bad Girls Like You,Tobii ,https://youtu.be/uejhZX9vu3k?si=Tv6s6rcKIJ_yLqHJ,0.30-1.19,เจ้าหญิง ปี 2,1,,https://www.youtube.com/watch?v=uejhZX9vu3k,00:00:30,00:01:19,เจ้าหญิง ปี 2,ไม่ได้เริ่ม,,,,
25,33,DDU-DU DDU-DU,BLACKPINK ,https://youtu.be/IHNzOHi8sJs?si=wU6cag3OmgPen8Gh,0.51-1.36,เจ้าหญิง ปี 2,1,,https://www.youtube.com/watch?v=IHNzOHi8sJs,00:00:51,00:01:36,เจ้าหญิง ปี 2,ไม่ได้เริ่ม,,,,
26,34,s-class,Skz,https://youtu.be/Qg1Ff9UVttM?si=ECMvp4S79mc8MnWk,0.48-1.21,,1,,https://www.youtube.com/watch?v=Qg1Ff9UVttM,00:00:48,00:01:21,,ไม่ได้เริ่ม,,,,
27,36,GGUM,YEONJUN,https://www.youtube.com/watch?v=1T9tLMh99Wo&list=RD1T9tLMh99Wo&start_radio=1,0.47-1.12,ภพ ปี2,1,,https://www.youtube.com/watch?v=1T9tLMh99Wo,00:00:47,00:01:12,ภพ ปี2,ไม่ได้เริ่ม,,,,
28,40,O.O,NMIXX,https://www.youtube.com/watch?v=Qet_yin83Os&list=RDQet_yin83Os&start_radio=1,0.43-1.16,น้องหนาว ปี2,1,,https://www.youtube.com/watch?v=Qet_yin83Os,00:00:43,00:01:16,น้องหนาว ปี2,ไม่ได้เริ่ม,,,,
29,41,ละลาย,DAOU NICE XX GUN JUNG,https://youtu.be/pbmIpwuYCsg?si=T8MpIT2Amps05y5i,0:40 - 1:30,นั๊ยล์ ปี3แล้วมั้ง,1,,https://www.youtube.com/watch?v=pbmIpwuYCsg,00:00:40,00:01:30,นั๊ยล์ ปี3แล้วมั้ง,ไม่ได้เริ่ม,,,,
30,43,just right,GOT7,https://youtu.be/ZBzdALzo2Yk?si=GBkqzFQlFbwRgyAE,0.44-1.30,,1,,https://www.youtube.com/watch?v=ZBzdALzo2Yk,00:00:44,00:01:30,,ไม่ได้เริ่ม,,,,
31,46,Feat,PIXXIE,https://www.youtube.com/watch?v=1FztEbqElt0&list=RD1FztEbqElt0&start_radio=1,0.45-1.18,น้องหนาว ปี2,1,จบเร็วววววววววว,https://www.youtube.com/watch?v=1FztEbqElt0,00:00:45,00:01:18,น้องหนาว ปี2,ไม่ได้เริ่ม,,,,
32,48,Future perfect,ENHYPEN,https://youtu.be/QMlNLo74mOw?si=MFCyYQCSaR7G4PyU,0.57-1.40,ภพ ปี2,1,,https://www.youtube.com/watch?v=QMlNLo74mOw,00:00:57,00:01:40,ภพ ปี2,ไม่ได้เริ่ม,,,,
33,50,POP,NAYEON,https://www.youtube.com/watch?v=f6YDKF0LVWw&list=RDrRzxEiBLQCA&index=16,0.26-1.05,น้องหนาว ปี2,1,,https://www.youtube.com/watch?v=f6YDKF0LVWw,00:00:26,00:01:05,น้องหนาว ปี2,ไม่ได้เริ่ม,,,,
34,53,บชต,พอกสี,https://youtu.be/eY-3KTIA8ag?si=xGvSsjsdEVAYx7B3,0.45-1.18,ภพ ปี2,1,,https://www.youtube.com/watch?v=eY-3KTIA8ag,00:00:45,00:01:18,ภพ ปี2,ไม่ได้เริ่ม,,,,
35,55,Not Shy,ITZY,https://www.youtube.com/watch?v=IOKMx1jeCjY&list=RDIOKMx1jeCjY&start_radio=1,0.38-1.07,น้องหนาว ปี2,1,,https://www.youtube.com/watch?v=IOKMx1jeCjY,00:00:38,00:01:07,น้องหนาว ปี2,ไม่ได้เริ่ม,,,,
36,56,Chk Chk Boom,Stray Kids,https://www.youtube.com/watch?v=0P0aQreFs8w&list=RD0P0aQreFs8w&start_radio=1,0.56-1.26,ภพ ปี2,1,,https://www.youtube.com/watch?v=0P0aQreFs8w,00:00:56,00:01:26,ภพ ปี2,ไม่ได้เริ่ม,,,,
37,57,Bite Me,Enhypen,https://www.youtube.com/watch?v=wXFLzODIdUI&list=RDwXFLzODIdUI&start_radio=1,0.49-1.36,น้องหนาว ปี2,1,,https://www.youtube.com/watch?v=wXFLzODIdUI,00:00:49,00:01:36,น้องหนาว ปี2,ไม่ได้เริ่ม,,,,
38,58,HOTEL LOBBY,TOBII,https://youtu.be/ChqGiYcztYs?si=5EhzO98hRWyby03W,0.20 - 1.00,เจ้าหญิง ปี 2,1,,https://www.youtube.com/watch?v=ChqGiYcztYs,00:00:20,00:01:00,เจ้าหญิง ปี 2,ไม่ได้เริ่ม,,,,
39,59,Perfect Night,LE SSERAFIM,https://youtu.be/oKBwWQI-IoI?si=TS6DDJGifwQKaYRV,0.28-1.04,ภพ ปี2,1,,https://www.youtube.com/watch?v=oKBwWQI-IoI,00:00:28,00:01:04,ภพ ปี2,ไม่ได้เริ่ม,,,,
40,60,Deer Hunter,&Team,https://youtu.be/nbRREMLB_OQ,0:30 - 1:34,นั๊ยล์ ปี3แล้วมั้ง,1,,https://www.youtube.com/watch?v=nbRREMLB_OQ,00:00:30,00:01:34,นั๊ยล์ ปี3แล้วมั้ง,ไม่ได้เริ่ม,,,,
41,62,money,LISA,https://youtu.be/dNCWe_6HAM8?si=NrV7LjJNfgR5ZJsj,0.40-1.03,ภพ ปี2,1,,https://www.youtube.com/watch?v=dNCWe_6HAM8,00:00:40,00:01:03,ภพ ปี2,ไม่ได้เริ่ม,,,,
42,63,La vie en rose,izone,https://youtu.be/WZwr2a_lFWY?si=oYm4ySvQEClCt7Y3,0.41-1.20,ฮูก ปี 2,1,,https://www.youtube.com/watch?v=WZwr2a_lFWY,00:00:41,00:01:20,ฮูก ปี 2,ไม่ได้เริ่ม,,,,
43,64,After LIKE,IVE,https://youtu.be/F0B7HDiY-10?si=9WPnCVhAMImy6qTL,0.18-1.05,เจ้าหญิง ปี 2,1,,https://www.youtube.com/watch?v=F0B7HDiY-10,00:00:18,00:01:05,เจ้าหญิง ปี 2,ไม่ได้เริ่ม,,,,
44,65,BBoom BBoom,MOMOLAND ,https://youtu.be/JQGRg8XBnB4?si=psA4rArZy0zrL9j0,0.52-1.39,เจ้าหญิง ปี 2,1,,https://www.youtube.com/watch?v=JQGRg8XBnB4,00:00:52,00:01:39,เจ้าหญิง ปี 2,ไม่ได้เริ่ม,,,,
45,70,Wait on me,Kai,https://youtube.com/watch?v=JLqXeMabsEQ,0.42 - 1.10,นั๊ยล์ ปี3แล้วมั้ง,1,จบเร็วววววว,https://www.youtube.com/watch?v=JLqXeMabsEQ,00:00:42,00:01:10,นั๊ยล์ ปี3แล้วมั้ง,ไม่ได้เริ่ม,,,,
46,73,Soda pop,Saja boy,https://youtu.be/DEzgA4qN810?si=R2UNygaDSUh0DpG2,0.53-1.11,แป้งจัง ปี2,1,,https://www.youtube.com/watch?v=DEzgA4qN810,00:00:53,00:01:11,แป้งจัง ปี2,ไม่ได้เริ่ม,,,,
47,74,bang bang bang,bigbang,https://youtu.be/2ips2mM7Zqw?si=ceBitC7hL_5ccpYC,0:52 - 1:28,ถั่ว ปี3,1,,https://www.youtube.com/watch?v=2ips2mM7Zqw,00:00:52,00:01:28,ถั่ว ปี3,ไม่ได้เริ่ม,,,,
48,75,MIC Drop,BTS,https://youtu.be/kTlv5_Bs8aw?si=Yow2A6JtbkwQEjr_,1.37-2.30,ภพ ปี2,1,,https://www.youtube.com/watch?v=kTlv5_Bs8aw,00:01:37,00:02:30,ภพ ปี2,ไม่ได้เริ่ม,,,,
49,76,HANDS UP,MEOVV,https://youtu.be/rqcNJ2Lqd-8?si=I0FX2V5ucUvkes1R,0.46 - 1.20,เจ้าหญิง ปี 2,1,,https://www.youtube.com/watch?v=rqcNJ2Lqd-8,00:00:46,00:01:20,เจ้าหญิง ปี 2,ไม่ได้เริ่ม,,,,
50,78,Kick it,nct127,https://youtu.be/zJ_aL-OlJJY,0:55 - 1:37,ไหน ปี3,1,,https://www.youtube.com/watch?v=zJ_aL-OlJJY,00:00:55,00:01:37,ไหน ปี3,ไม่ได้เริ่ม,,,,
51,80,Love Dive,IVE,https://www.youtube.com/watch?v=Y8JFxS1HlDo&list=RDY8JFxS1HlDo&start_radio=1,0.33-1.15,น้องหนาว ปี2,1,,https://www.youtube.com/watch?v=Y8JFxS1HlDo,00:00:33,00:01:15,น้องหนาว ปี2,ไม่ได้เริ่ม,,,,
52,81,Bon Bon Chocolat ,Everglow,https://youtu.be/HvGql8HwOIM,0:48 - 1:16,ไหน ปี3,1,,https://www.youtube.com/watch?v=HvGql8HwOIM,00:00:48,00:01:16,ไหน ปี3,ไม่ได้เริ่ม,,,,
53,83,SUPER,Seventeen,https://youtu.be/-GQg25oP0S4?si=EclEUwYuOE-qv08d,0.49-1.25,ภพ ปี2,1,,https://www.youtube.com/watch?v=-GQg25oP0S4,00:00:49,00:01:25,ภพ ปี2,ไม่ได้เริ่ม,,,,
54,85,Gnarly,Kateye ,https://youtu.be/PkMKJEkE8Mo,0:20 - 1:17,ไหน ปี3,1,,https://www.youtube.com/watch?v=PkMKJEkE8Mo,00:00:20,00:01:17,ไหน ปี3,ไม่ได้เริ่ม,,,,
55,89,Dynamite,BTS,https://youtu.be/gdZLi9oWNZg?si=19BkHuHYm4an2pZZ,1.48-2.31,ภพ ปี2,1,จบเร็ววววว,https://www.youtube.com/watch?v=gdZLi9oWNZg,00:01:48,00:02:31,ภพ ปี2,ไม่ได้เริ่ม,,,,
56,90,Stop Stop it,GOT7,https://youtu.be/wZ_Nt_sGYbk?si=-TuOK37kppfjUgos,0.37-1.07,ภพ ปี2,1,เบา,https://www.youtube.com/watch?v=wZ_Nt_sGYbk,00:00:37,00:01:07,ภพ ปี2,ไม่ได้เริ่ม,,,,
57,93,GANGNAM STYLE,PSY,https://youtu.be/9bZkp7q19f0?si=ysNTHZukjGFurFzf,0.55-1.40,,1,,https://www.youtube.com/watch?v=9bZkp7q19f0,00:00:55,00:01:40,,ไม่ได้เริ่ม,,,,
58,99,OMG,NewJeans,https://www.youtube.com/watch?v=sVTy_wmn5SU&list=RDsVTy_wmn5SU&start_radio=1,0.38-1.17,น้องหนาว ปี2,1,,https://www.youtube.com/watch?v=sVTy_wmn5SU,00:00:38,00:01:17,น้องหนาว ปี2,ไม่ได้เริ่ม,,,,
59,100,WA DA DA,Kep1er,https://www.youtube.com/watch?v=n0j5NPptyM0&list=RDn0j5NPptyM0&start_radio=1,0.40-1.19,น้องหนาว ปี2,1,,https://www.youtube.com/watch?v=n0j5NPptyM0,00:00:40,00:01:19,น้องหนาว ปี2,ไม่ได้เริ่ม,,,,
60,101,CRAZY,LE SSERAFIM,https://youtu.be/n6B5gQXlB-0?si=UDJSzwDScG9XQyoX,0.53-1.36,เจ้าหญิง ปี 2,1,,https://www.youtube.com/watch?v=n6B5gQXlB-0,00:00:53,00:01:36,เจ้าหญิง ปี 2,ไม่ได้เริ่ม,,,,
61,103,After School,Weeekly,https://youtu.be/qfVuRQX0ydQ?si=H1FuBI5-TMLy0tGX,0.37-1.18,เจ้าหญิง ปี 2,1,,https://www.youtube.com/watch?v=qfVuRQX0ydQ,00:00:37,00:01:18,เจ้าหญิง ปี 2,ไม่ได้เริ่ม,,,,
62,104,Life Boy,4EVE,https://www.youtube.com/watch?v=xMcHIcXCybg&list=RDxMcHIcXCybg&start_radio=1,0.53-1.28,น้องหนาว ปี2,1,,https://www.youtube.com/watch?v=xMcHIcXCybg,00:00:53,00:01:28,น้องหนาว ปี2,ไม่ได้เริ่ม,,,,
63,105,teedee tada,ไดมอน,https://youtu.be/HCY9ovCm-OY?si=fIsLWolvshNhW_dI,0.51-1.17,,1,,https://www.youtube.com/watch?v=HCY9ovCm-OY,00:00:51,00:01:17,,ไม่ได้เริ่ม,,,,
64,106,Yes or yes,Twice,https://youtu.be/mAKsZ26SabQ?si=zLlnUottzJ_mEb5O,1.33-2.13,ฮูก ปี 2,1,,https://www.youtube.com/watch?v=mAKsZ26SabQ,00:01:33,00:02:13,ฮูก ปี 2,ไม่ได้เริ่ม,,,,
